track_name;artist(s)_name;artist_count;released_year;released_month;released_day;in_spotify_playlists;in_spotify_charts;streams;in_apple_playlists;in_apple_charts;in_deezer_playlists;in_deezer_charts;in_shazam_charts;bpm;key;mode;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
Que Vuelvas;Carin Leon, Grupo Frontera;2.00;2022.00;12.00;9.00;763.00;26.00;2762.00;21.00;110.00;21.00;9.00;71.00;162.00;A#;Major;49.00;78.00;64.00;19.00;0.00;11.00;4.00
Por las Noches;Peso Pluma;1.00;2021.00;6.00;11.00;457.00;24.00;330346424.00;8.00;116.00;4.00;3.00;2.00;92.00;0;Major;81.00;39.00;60.00;31.00;0.00;7.00;3.00
Feliz Cumpleaï¿½ï¿½os Fe;Feid;1.00;2022.00;8.00;19.00;3430.00;38.00;601863821.00;45.00;69.00;52.00;4.00;3.00;95.00;F;Major;87.00;57.00;55.00;10.00;0.00;29.00;7.00
Can't Hold Us (feat. Ray Dalton);Ray Dalton, Ryan Lewis, Macklemore;3.00;2011.00;8.00;16.00;6074.00;52.00;1953533826.00;201.00;44.00;6551.00;2.00;0.00;146.00;D;Major;63.00;88.00;93.00;3.00;0.00;10.00;8.00
Watermelon Sugar;Harry Styles;1.00;2019.00;11.00;17.00;21915.00;34.00;2322580122.00;437.00;115.00;1212.00;12.00;0.00;95.00;0;Major;55.00;56.00;82.00;12.00;0.00;34.00;5.00
lovely - Bonus Track;Billie Eilish, Khalid;2.00;2017.00;8.00;11.00;15032.00;30.00;2355719893.00;221.00;96.00;1078.00;2.00;136.00;115.00;E;Minor;35.00;12.00;30.00;93.00;0.00;10.00;3.00
Rauw Alejandro: Bzrp Music Sessions, Vol. 56;Rauw Alejandro, Bizarrap;2.00;2023.00;6.00;21.00;871.00;32.00;66902503.00;25.00;59.00;32.00;5.00;88.00;128.00;B;Major;78.00;59.00;65.00;10.00;0.00;26.00;5.00
Queencard;(G)I-DLE;1.00;2023.00;5.00;15.00;451.00;33.00;96273746.00;10.00;126.00;7.00;0.00;148.00;130.00;E;Minor;82.00;69.00;83.00;3.00;0.00;27.00;5.00
OMG;NewJeans;1.00;2023.00;1.00;2.00;1783.00;27.00;430977451.00;26.00;124.00;15.00;1.00;22.00;127.00;A;Minor;80.00;74.00;77.00;36.00;0.00;11.00;4.00
Radio;Lana Del Rey;1.00;2011.00;1.00;1.00;9389.00;46.00;284819874.00;24.00;122.00;282.00;3.00;368.00;150.00;D;Major;42.00;20.00;86.00;21.00;0.00;9.00;9.00
Shakira: Bzrp Music Sessions, Vol. 53;Shakira, Bizarrap;2.00;2023.00;1.00;11.00;5724.00;44.00;721975598.00;119.00;108.00;254.00;29.00;22.00;122.00;D;Minor;78.00;50.00;63.00;27.00;0.00;9.00;5.00
505;Arctic Monkeys;1.00;2007.00;4.00;20.00;13985.00;25.00;1217120710.00;30.00;80.00;588.00;1.00;1.00;140.00;0;Major;52.00;20.00;85.00;0.00;0.00;7.00;5.00
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie);Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV;4.00;2023.00;6.00;2.00;1051.00;16.00;109276132.00;31.00;37.00;31.00;0.00;189.00;140.00;0;Major;63.00;22.00;54.00;46.00;0.00;12.00;8.00
Trance (with Travis Scott & Young Thug);Travis Scott, Young Thug, Metro Boomin;3.00;2022.00;12.00;2.00;1682.00;46.00;276259178.00;24.00;90.00;30.00;1.00;176.00;119.00;C#;Minor;75.00;48.00;53.00;18.00;0.00;18.00;34.00
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")";Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain;5.00;2023.00;5.00;22.00;182.00;8.00;54225632.00;3.00;88.00;1.00;0.00;52.00;110.00;G;Minor;76.00;96.00;72.00;32.00;0.00;9.00;4.00
Perfect;Ed Sheeran;1.00;2017.00;1.00;1.00;16596.00;13.00;2559529074.00;7.00;0.00;2094.00;0.00;0.00;95.00;G#;Major;60.00;17.00;45.00;16.00;0.00;11.00;2.00
Romantic Homicide;d4vd;1.00;2022.00;7.00;20.00;2335.00;23.00;681583126.00;82.00;55.00;50.00;0.00;9.00;132.00;F#;Major;56.00;20.00;55.00;45.00;1.00;32.00;3.00
Believer;Imagine Dragons;1.00;2017.00;1.00;31.00;18986.00;23.00;2594040133.00;250.00;121.00;2969.00;10.00;31.00;125.00;A#;Minor;77.00;74.00;78.00;4.00;0.00;23.00;11.00
Novo Balanï¿½;Veigh, Bvga Beatz, Supernova Ent, Prod Malax;4.00;2023.00;5.00;19.00;283.00;7.00;81102253.00;6.00;9.00;26.00;1.00;66.00;124.00;D#;Minor;84.00;65.00;50.00;67.00;0.00;13.00;6.00
Gol Bolinha, Gol Quadrado 2;Mc Pedrinho, DJ 900;2.00;2023.00;6.00;1.00;293.00;8.00;11956641.00;5.00;2.00;30.00;2.00;66.00;133.00;B;Minor;93.00;68.00;65.00;42.00;0.00;12.00;25.00
Without Me;Eminem;1.00;2002.00;1.00;1.00;21081.00;43.00;1687664027.00;98.00;76.00;3889.00;5.00;0.00;112.00;G;Major;92.00;67.00;66.00;0.00;0.00;36.00;9.00
QUEMA;Sog, Ryan Castro, Peso Pluma;3.00;2023.00;7.00;13.00;437.00;31.00;11599388.00;17.00;29.00;26.00;3.00;208.00;97.00;0;Major;79.00;92.00;89.00;5.00;0.00;6.00;5.00
Stargirl Interlude;The Weeknd, Lana Del Rey;2.00;2016.00;11.00;24.00;1275.00;32.00;611700552.00;13.00;8.00;5.00;0.00;1.00;90.00;F;Minor;59.00;52.00;48.00;38.00;5.00;10.00;11.00
Ojitos Lindos;Bomba Estï¿½ï¿½reo, Bad B;2.00;2022.00;5.00;6.00;6135.00;38.00;1133865788.00;71.00;113.00;99.00;13.00;28.00;80.00;D#;Minor;65.00;27.00;69.00;8.00;0.00;53.00;4.00
Somewhere Only We Know;Keane;1.00;2004.00;1.00;1.00;20015.00;16.00;1089402494.00;107.00;69.00;5239.00;0.00;558.00;172.00;A;Major;45.00;33.00;59.00;6.00;0.00;8.00;3.00
Those Eyes;New West;1.00;2019.00;5.00;10.00;1507.00;14.00;411747614.00;24.00;71.00;44.00;1.00;195.00;120.00;E;Major;60.00;24.00;35.00;73.00;0.00;31.00;3.00
El Gordo Trae El Mando;Chino Pacas;1.00;2023.00;1.00;27.00;539.00;21.00;255932395.00;7.00;71.00;4.00;2.00;13.00;140.00;G;Minor;74.00;96.00;80.00;18.00;0.00;5.00;5.00
Mi Bello Angel;Natanael Cano;1.00;2023.00;6.00;30.00;86.00;8.00;31873544.00;7.00;76.00;3.00;1.00;93.00;128.00;A;Minor;81.00;90.00;77.00;1.00;0.00;9.00;5.00
Bye;Peso Pluma;1.00;2023.00;5.00;26.00;324.00;14.00;95053634.00;13.00;110.00;8.00;2.00;60.00;122.00;0;Major;78.00;70.00;81.00;57.00;0.00;10.00;5.00
Danza Kuduro;Don Omar, Lucenzo;2.00;2010.00;1.00;1.00;17138.00;37.00;1279434863.00;119.00;81.00;974.00;1.00;503.00;130.00;0;Major;47.00;86.00;92.00;8.00;0.00;5.00;24.00
Nosso Quadro;Ana Castela, AgroPlay;2.00;2023.00;2.00;2.00;894.00;9.00;233801632.00;14.00;88.00;66.00;3.00;72.00;160.00;A;Major;69.00;61.00;71.00;33.00;0.00;31.00;20.00
Locked Out Of Heaven;Bruno Mars;1.00;2012.00;12.00;5.00;1622.00;9.00;1481349984.00;0.00;0.00;356.00;0.00;0.00;144.00;F;Major;73.00;87.00;70.00;6.00;0.00;28.00;5.00
Un Finde | CROSSOVER #2;Big One, FMK, Ke personajes;3.00;2023.00;4.00;4.00;561.00;14.00;142095275.00;4.00;14.00;12.00;5.00;56.00;192.00;B;Major;50.00;85.00;52.00;11.00;0.00;28.00;6.00
Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;2.00;2022.00;6.00;17.00;5871.00;27.00;618885532.00;81.00;121.00;58.00;1.00;34.00;163.00;0;Major;54.00;40.00;67.00;0.00;0.00;9.00;17.00
Counting Stars;OneRepublic;1.00;2013.00;1.00;1.00;29215.00;43.00;2011464183.00;179.00;97.00;3394.00;11.00;153.00;122.00;C#;Minor;66.00;48.00;71.00;6.00;0.00;12.00;4.00
Ghost;Justin Bieber;1.00;2021.00;3.00;19.00;5866.00;24.00;1167330737.00;107.00;38.00;95.00;0.00;0.00;154.00;D;Major;61.00;41.00;74.00;21.00;0.00;40.00;6.00
Under The Influence;Chris Brown;1.00;2019.00;10.00;4.00;3859.00;26.00;929964809.00;133.00;181.00;3.00;0.00;0.00;117.00;A;Minor;73.00;31.00;69.00;6.00;0.00;11.00;4.00
PRC;Natanael Cano, Peso Pluma;2.00;2023.00;1.00;23.00;961.00;26.00;436027885.00;19.00;143.00;10.00;6.00;15.00;138.00;G;Minor;78.00;89.00;83.00;10.00;0.00;12.00;5.00
Gasolina;Daddy Yankee;1.00;2004.00;7.00;13.00;6457.00;18.00;657723613.00;98.00;95.00;453.00;0.00;454.00;96.00;0;Major;86.00;74.00;80.00;33.00;0.00;8.00;6.00
One Dance;Drake, WizKid, Kyla;3.00;2016.00;4.00;4.00;43257.00;24.00;2713922350.00;433.00;107.00;3631.00;0.00;26.00;104.00;C#;Major;77.00;36.00;63.00;1.00;0.00;36.00;5.00
Enchanted;Taylor Swift;1.00;2010.00;1.00;1.00;4564.00;16.00;621660989.00;24.00;101.00;113.00;0.00;40.00;164.00;G#;Major;45.00;24.00;62.00;8.00;0.00;16.00;3.00
Save Your Tears;The Weeknd;1.00;2020.00;3.00;20.00;12688.00;13.00;1591223784.00;197.00;115.00;112.00;0.00;200.00;118.00;0;Major;68.00;61.00;82.00;2.00;0.00;50.00;3.00
Sure Thing;Miguel;1.00;2010.00;5.00;25.00;13801.00;19.00;950906471.00;137.00;125.00;435.00;6.00;285.00;81.00;B;Minor;68.00;51.00;60.00;3.00;0.00;19.00;10.00
Every Breath You Take - Remastered 2003;The Police;1.00;1983.00;1.00;6.00;22439.00;19.00;1593270737.00;211.00;74.00;929.00;0.00;129.00;117.00;C#;Major;82.00;73.00;45.00;54.00;0.00;7.00;3.00
The Night We Met;Lord Huron;1.00;2015.00;2.00;2.00;18515.00;35.00;1410088830.00;70.00;82.00;939.00;1.00;162.00;174.00;D;Major;45.00;10.00;37.00;97.00;25.00;64.00;4.00
We Found Love;Rihanna, Calvin Harris;2.00;2011.00;1.00;1.00;36843.00;21.00;1235005533.00;321.00;91.00;4607.00;1.00;58.00;128.00;C#;Major;73.00;60.00;77.00;3.00;0.00;11.00;4.00
When I Was Your Man;Bruno Mars;1.00;2012.00;12.00;5.00;2420.00;11.00;1661187319.00;0.00;0.00;806.00;0.00;0.00;145.00;0;Major;60.00;43.00;27.00;94.00;0.00;14.00;4.00
Let Me Down Slowly;Alec Benjamin;1.00;2018.00;5.00;25.00;5897.00;19.00;1374581173.00;0.00;0.00;885.00;0.00;0.00;150.00;C#;Minor;65.00;51.00;55.00;73.00;0.00;14.00;3.00
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee);A$AP Rocky, Metro Boomin, Roisee;3.00;2023.00;6.00;2.00;727.00;16.00;94186466.00;17.00;60.00;28.00;1.00;44.00;90.00;A;Minor;60.00;13.00;53.00;4.00;0.00;21.00;4.00
Do I Wanna Know?;Arctic Monkeys;1.00;2013.00;1.00;1.00;33783.00;26.00;1788326445.00;133.00;92.00;2733.00;1.00;26.00;85.00;F;Major;55.00;42.00;53.00;17.00;0.00;22.00;3.00
Demons;Imagine Dragons;1.00;2012.00;1.00;1.00;26694.00;13.00;1840364617.00;65.00;82.00;3425.00;4.00;13.00;180.00;D#;Major;33.00;38.00;71.00;20.00;0.00;28.00;5.00
ýýýýýýýýýýýý;YOASOBI;1.00;2023.00;4.00;12.00;356.00;16.00;143573775.00;35.00;102.00;8.00;1.00;117.00;166.00;C#;Major;57.00;84.00;94.00;11.00;0.00;37.00;9.00
Reminder;The Weeknd;1.00;2016.00;11.00;25.00;6518.00;17.00;684675814.00;45.00;85.00;238.00;1.00;47.00;160.00;G#;Major;71.00;40.00;50.00;16.00;0.00;16.00;22.00
Shake It Off;Taylor Swift;1.00;2014.00;1.00;1.00;21335.00;13.00;1113838873.00;328.00;70.00;1378.00;9.00;20.00;160.00;G;Major;65.00;95.00;80.00;5.00;0.00;41.00;16.00
Why'd You Only Call Me When You're High?;Arctic Monkeys;1.00;2013.00;1.00;1.00;23389.00;29.00;1267333350.00;54.00;70.00;1089.00;2.00;1.00;92.00;D;Major;70.00;81.00;63.00;4.00;0.00;8.00;4.00
SNAP;Rosa Linn;1.00;2022.00;3.00;19.00;3202.00;18.00;726307468.00;148.00;80.00;226.00;24.00;0.00;170.00;0;Major;56.00;53.00;64.00;11.00;0.00;45.00;6.00
Shape of You;Ed Sheeran;1.00;2017.00;1.00;6.00;32181.00;10.00;3562543890.00;33.00;0.00;6808.00;7.00;0.00;96.00;C#;Minor;83.00;93.00;65.00;58.00;0.00;9.00;8.00
Night Changes;One Direction;1.00;2014.00;11.00;17.00;7124.00;18.00;1131090940.00;60.00;20.00;2.00;0.00;0.00;120.00;G#;Major;67.00;40.00;52.00;86.00;0.00;12.00;4.00
Fin de Semana;Oscar Maydon, Junior H;2.00;2023.00;1.00;13.00;592.00;14.00;307370144.00;11.00;84.00;6.00;1.00;30.00;98.00;0;Major;70.00;37.00;54.00;6.00;0.00;9.00;8.00
Creep;Radiohead;1.00;1992.00;9.00;21.00;36724.00;7.00;1271293243.00;146.00;72.00;6807.00;5.00;80.00;92.00;G;Major;53.00;12.00;34.00;1.00;0.00;12.00;4.00
Car's Outside;James Arthur;1.00;2019.00;10.00;18.00;794.00;10.00;265882712.00;38.00;25.00;61.00;0.00;263.00;150.00;A;Major;34.00;24.00;56.00;4.00;0.00;11.00;3.00
Apocalypse;Cigarettes After Sex;1.00;2017.00;3.00;21.00;13091.00;17.00;841749534.00;61.00;96.00;790.00;2.00;116.00;94.00;F;Major;37.00;17.00;47.00;2.00;46.00;11.00;3.00
Cheques;Shubh;1.00;2023.00;5.00;19.00;67.00;8.00;47956378.00;7.00;10.00;0.00;0.00;57.00;90.00;E;Minor;74.00;36.00;63.00;26.00;0.00;27.00;5.00
Pink + White;Frank Ocean;1.00;2016.00;8.00;20.00;21574.00;30.00;806397070.00;112.00;68.00;266.00;1.00;39.00;160.00;A;Major;54.00;54.00;55.00;67.00;0.00;42.00;11.00
Circles;Post Malone;1.00;2019.00;8.00;30.00;19664.00;16.00;2132335812.00;391.00;73.00;633.00;3.00;37.00;120.00;0;Major;70.00;59.00;75.00;24.00;0.00;9.00;4.00
Just The Way You Are;Bruno Mars;1.00;2010.00;1.00;1.00;21106.00;13.00;1641426668.00;82.00;0.00;2946.00;0.00;0.00;109.00;F;Major;63.00;46.00;85.00;1.00;0.00;9.00;5.00
Take Me To Church;Hozier;1.00;2013.00;9.00;13.00;23804.00;31.00;2135158446.00;187.00;99.00;4623.00;1.00;0.00;129.00;E;Minor;57.00;41.00;66.00;63.00;0.00;12.00;5.00
Bebe Dame;Fuerza Regida, Grupo Frontera;2.00;2022.00;12.00;16.00;849.00;22.00;367316268.00;27.00;129.00;21.00;7.00;111.00;157.00;G;Major;54.00;75.00;60.00;30.00;0.00;7.00;5.00
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve;Taylor Swift;1.00;2021.00;4.00;9.00;2619.00;12.00;350381515.00;47.00;90.00;1.00;0.00;7.00;130.00;F#;Major;63.00;49.00;73.00;5.00;0.00;9.00;3.00
Titi Me Preguntï¿;Bad Bunny;1.00;2022.00;5.00;6.00;9037.00;42.00;1264310836.00;124.00;133.00;139.00;14.00;166.00;107.00;F;Minor;65.00;19.00;72.00;10.00;0.00;13.00;25.00
Better Than Revenge (Taylor's Version);Taylor Swift;1.00;2023.00;7.00;7.00;86.00;11.00;30343206.00;3.00;33.00;3.00;0.00;1.00;146.00;B;Minor;50.00;67.00;89.00;0.00;0.00;19.00;8.00
Shut up My Moms Calling;Hotel Ugly;1.00;2020.00;2.00;10.00;1788.00;14.00;405136812.00;1.00;50.00;19.00;0.00;19.00;139.00;A;Minor;48.00;37.00;41.00;32.00;0.00;10.00;10.00
Have You Ever Seen The Rain?;Creedence Clearwater Revival;1.00;1968.00;7.00;1.00;15890.00;14.00;1145727611.00;71.00;37.00;653.00;0.00;167.00;116.00;0;Major;74.00;76.00;70.00;7.00;0.00;13.00;3.00
Es un Secreto;Plan B;1.00;2010.00;7.00;20.00;492.00;36.00;540654286.00;4.00;3.00;19.00;0.00;0.00;95.00;F#;Minor;84.00;52.00;77.00;12.00;0.00;7.00;4.00
POLARIS - Remix;Feid, Mora, Saiko, Quevedo;4.00;2023.00;6.00;8.00;773.00;33.00;57312735.00;20.00;46.00;21.00;8.00;99.00;170.00;G#;Minor;62.00;55.00;80.00;15.00;0.00;37.00;7.00
Ditto;NewJeans;1.00;2022.00;12.00;19.00;1154.00;22.00;397582059.00;28.00;125.00;11.00;1.00;51.00;134.00;F#;Minor;81.00;18.00;64.00;3.00;0.00;10.00;11.00
Take On Me;a-ha;1.00;1984.00;10.00;19.00;44927.00;17.00;1479115056.00;34.00;0.00;5108.00;6.00;0.00;84.00;F#;Minor;57.00;86.00;90.00;2.00;0.00;9.00;5.00
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset);Swae Lee, Lil Wayne, Offset, Metro Boomin;4.00;2023.00;6.00;2.00;551.00;4.00;86773632.00;13.00;46.00;20.00;1.00;10.00;146.00;B;Minor;61.00;20.00;48.00;21.00;0.00;12.00;6.00
Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long);Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin;5.00;2023.00;5.00;1.00;577.00;14.00;133753727.00;22.00;18.00;15.00;1.00;0.00;74.00;A#;Minor;53.00;24.00;67.00;11.00;0.00;10.00;28.00
Acrï¿½ï¿½s;Shakira;1.00;2023.00;5.00;11.00;955.00;29.00;123124076.00;37.00;50.00;79.00;11.00;31.00;144.00;B;Major;75.00;35.00;48.00;84.00;0.00;10.00;12.00
AMG;Natanael Cano, Gabito Ballesteros, Peso Pluma;3.00;2022.00;11.00;24.00;995.00;19.00;463564958.00;12.00;117.00;9.00;5.00;3.00;136.00;B;Minor;77.00;79.00;73.00;15.00;0.00;27.00;10.00
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")";Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya;3.00;2023.00;5.00;15.00;178.00;6.00;64533040.00;6.00;71.00;1.00;0.00;31.00;100.00;E;Major;56.00;53.00;55.00;53.00;0.00;12.00;4.00
S-Class;Stray Kids;1.00;2023.00;6.00;2.00;290.00;19.00;65496046.00;9.00;101.00;5.00;0.00;73.00;105.00;F;Minor;89.00;67.00;78.00;9.00;0.00;7.00;33.00
Hits Different;Taylor Swift;1.00;2023.00;5.00;26.00;547.00;0.00;68616963.00;15.00;15.00;6.00;0.00;0.00;106.00;F;Major;67.00;24.00;78.00;15.00;0.00;30.00;4.00
Chanel;Becky G, Peso Pluma;2.00;2023.00;3.00;30.00;681.00;10.00;161460990.00;15.00;92.00;21.00;2.00;26.00;132.00;D;Major;85.00;53.00;68.00;40.00;0.00;9.00;4.00
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray);Metro Boomin, Coi Leray;2.00;2023.00;6.00;2.00;332.00;5.00;70106975.00;18.00;41.00;5.00;0.00;19.00;120.00;A;Major;78.00;5.00;30.00;21.00;0.00;13.00;5.00
Area Codes;Kaliii, Kaliii;2.00;2023.00;3.00;17.00;1197.00;13.00;113509496.00;44.00;34.00;25.00;1.00;171.00;155.00;C#;Major;82.00;51.00;39.00;2.00;0.00;9.00;49.00
Abcdario;Junior H, Eden Muï¿½ï;2.00;2023.00;5.00;13.00;262.00;5.00;89933133.00;8.00;60.00;4.00;1.00;109.00;129.00;G#;Major;70.00;42.00;43.00;78.00;0.00;11.00;3.00
Obsessed;Abhijay Sharma, Riar Saab;2.00;2022.00;9.00;29.00;161.00;6.00;71007139.00;10.00;79.00;2.00;0.00;42.00;135.00;F;Minor;80.00;85.00;74.00;62.00;0.00;8.00;9.00
Piï¿½ï¿½man Deï¿;Semicenk, Doï¿½ï¿½u ;2.00;2023.00;6.00;2.00;185.00;3.00;43522589.00;5.00;6.00;4.00;1.00;33.00;98.00;A#;Minor;73.00;45.00;62.00;28.00;0.00;13.00;13.00
FLOWER;JISOO;1.00;2023.00;3.00;31.00;839.00;18.00;232896922.00;20.00;110.00;20.00;0.00;69.00;124.00;A;Minor;84.00;64.00;39.00;3.00;0.00;11.00;4.00
All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert);Future, Lil Uzi Vert, Metro Boomin;3.00;2023.00;6.00;2.00;259.00;0.00;37126685.00;5.00;17.00;5.00;0.00;0.00;135.00;A;Minor;77.00;28.00;55.00;18.00;0.00;22.00;15.00
Eyes Closed;Ed Sheeran;1.00;2023.00;3.00;23.00;2915.00;30.00;195576623.00;116.00;69.00;107.00;3.00;675.00;107.00;D;Major;78.00;39.00;53.00;30.00;0.00;11.00;6.00
Escapism.;RAYE, 070 Shake;2.00;2022.00;10.00;12.00;5129.00;25.00;532336353.00;116.00;84.00;114.00;18.00;348.00;96.00;D;Major;54.00;25.00;74.00;14.00;0.00;9.00;11.00
La Jumpa;Arcangel, Bad Bunny;2.00;2022.00;11.00;30.00;3794.00;34.00;538115192.00;47.00;77.00;53.00;10.00;8.00;123.00;G#;Major;71.00;58.00;70.00;30.00;0.00;32.00;19.00
Karma (feat. Ice Spice);Taylor Swift, Ice Spice;2.00;2023.00;5.00;26.00;588.00;0.00;46142772.00;23.00;21.00;31.00;0.00;0.00;90.00;G#;Major;62.00;7.00;62.00;6.00;0.00;58.00;6.00
Superhero (Heroes & Villains) [with Future & Chris Brown];Future, Chris Brown, Metro Boomin;3.00;2022.00;12.00;2.00;2959.00;16.00;401036314.00;41.00;69.00;38.00;0.00;36.00;117.00;F;Minor;72.00;45.00;59.00;14.00;0.00;20.00;21.00
Las Morras;BLESSD, Peso Pluma;2.00;2023.00;4.00;4.00;291.00;8.00;127026613.00;8.00;78.00;4.00;1.00;1.00;133.00;A;Minor;78.00;90.00;84.00;31.00;0.00;7.00;4.00
CHORRITO PA LAS ANIMAS;Feid;1.00;2022.00;12.00;2.00;2321.00;36.00;345031710.00;29.00;65.00;34.00;5.00;3.00;96.00;G#;Minor;74.00;61.00;83.00;11.00;0.00;35.00;6.00
Ch y la Pizza;Fuerza Regida, Natanael Cano;2.00;2022.00;12.00;1.00;536.00;10.00;288101651.00;10.00;72.00;8.00;3.00;14.00;149.00;G#;Major;66.00;85.00;60.00;40.00;0.00;14.00;13.00
Snow On The Beach (feat. More Lana Del Rey);Lana Del Rey, Taylor Swift;2.00;2023.00;5.00;26.00;359.00;2.00;60350538.00;1.00;0.00;9.00;0.00;0.00;110.00;F#;Minor;66.00;32.00;40.00;81.00;0.00;11.00;3.00
Players;Coi Leray;1.00;2022.00;11.00;30.00;4096.00;6.00;335074782.00;118.00;48.00;143.00;0.00;240.00;105.00;F#;Major;95.00;62.00;52.00;3.00;0.00;5.00;16.00
Bite Me;ENHYPEN;1.00;2023.00;5.00;22.00;349.00;69.00;76767396.00;8.00;96.00;5.00;0.00;56.00;105.00;C#;Major;80.00;69.00;78.00;28.00;0.00;11.00;14.00
Stand By Me (feat. Morgan Wallen);Lil Durk, Morgan Wallen;2.00;2023.00;5.00;26.00;381.00;5.00;46065667.00;23.00;82.00;6.00;0.00;113.00;134.00;B;Major;76.00;61.00;58.00;6.00;0.00;16.00;3.00
Normal;Feid;1.00;2022.00;7.00;8.00;2461.00;36.00;459276435.00;47.00;66.00;45.00;5.00;6.00;170.00;E;Minor;71.00;59.00;56.00;4.00;0.00;27.00;12.00
Hummingbird (Metro Boomin & James Blake);James Blake, Metro Boomin;2.00;2023.00;6.00;2.00;277.00;1.00;39666245.00;1.00;20.00;5.00;0.00;1.00;81.00;F#;Major;59.00;26.00;60.00;46.00;1.00;25.00;13.00
Seu Brilho Sumiu - Ao Vivo;Israel & Rodolffo, Mari Fernandez;2.00;2023.00;3.00;1.00;967.00;5.00;138517666.00;7.00;29.00;51.00;1.00;29.00;154.00;F#;Major;63.00;75.00;92.00;31.00;0.00;91.00;5.00
Bad Habit;Steve Lacy;1.00;2022.00;6.00;29.00;8186.00;12.00;822633917.00;155.00;72.00;131.00;16.00;29.00;169.00;C#;Major;69.00;69.00;51.00;63.00;0.00;38.00;4.00
CUFF IT;Beyoncï¿;1.00;2022.00;7.00;29.00;7842.00;10.00;595900742.00;215.00;88.00;330.00;26.00;23.00;115.00;G;Major;78.00;64.00;69.00;4.00;0.00;7.00;14.00
Lilith (feat. SUGA of BTS) (Diablo IV Anthem);Halsey, Suga;2.00;2023.00;6.00;5.00;215.00;6.00;51985779.00;6.00;14.00;8.00;2.00;4.00;84.00;A;Minor;43.00;14.00;74.00;1.00;0.00;19.00;8.00
69;Nicky Jam, Feid;2.00;2023.00;5.00;18.00;1134.00;22.00;57945987.00;39.00;14.00;48.00;2.00;3.00;93.00;G#;Major;79.00;58.00;62.00;11.00;0.00;11.00;23.00
Niï¿½ï¿½a Bo;Sean Paul, Feid;2.00;2023.00;4.00;21.00;1305.00;34.00;115010040.00;29.00;26.00;43.00;5.00;44.00;91.00;G;Major;82.00;47.00;62.00;10.00;0.00;10.00;15.00
Search & Rescue;Drake;1.00;2023.00;4.00;7.00;2066.00;6.00;175097833.00;58.00;70.00;43.00;0.00;182.00;142.00;A#;Minor;82.00;54.00;44.00;6.00;0.00;33.00;7.00
AMERICA HAS A PROBLEM (feat. Kendrick Lamar);Kendrick Lamar, Beyoncï¿;2.00;2023.00;5.00;19.00;896.00;0.00;57089066.00;34.00;2.00;33.00;0.00;1.00;126.00;C#;Major;78.00;20.00;70.00;1.00;0.00;16.00;4.00
Lavender Haze;Taylor Swift;1.00;2022.00;10.00;21.00;3763.00;8.00;488386797.00;51.00;43.00;38.00;10.00;1.00;97.00;A#;Major;73.00;10.00;44.00;26.00;0.00;16.00;8.00
Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse );WizKid, Toian, Metro Boomin, Don Toliver, Beam;5.00;2023.00;6.00;2.00;197.00;0.00;32761689.00;3.00;10.00;3.00;0.00;0.00;101.00;F;Major;92.00;59.00;51.00;41.00;51.00;26.00;8.00
Efecto;Bad Bunny;1.00;2022.00;5.00;6.00;4004.00;33.00;1047480053.00;34.00;65.00;43.00;6.00;2.00;98.00;G;Minor;80.00;23.00;48.00;14.00;0.00;6.00;5.00
Erro Gostoso - Ao Vivo;Simone Mendes;1.00;2023.00;1.00;27.00;984.00;5.00;153454328.00;8.00;57.00;76.00;2.00;49.00;154.00;F#;Major;59.00;63.00;89.00;18.00;0.00;80.00;9.00
Cupido;Tini;1.00;2023.00;2.00;14.00;1240.00;24.00;217672943.00;51.00;29.00;63.00;4.00;54.00;120.00;A;Major;91.00;63.00;58.00;52.00;0.00;31.00;22.00
Just Wanna Rock;Lil Uzi Vert;1.00;2022.00;10.00;17.00;3995.00;13.00;457184829.00;72.00;27.00;47.00;0.00;0.00;150.00;B;Major;49.00;4.00;55.00;7.00;0.00;6.00;3.00
Unstoppable;Sia;1.00;2016.00;1.00;21.00;7681.00;13.00;939844851.00;119.00;66.00;1145.00;2.00;0.00;174.00;A;Major;47.00;27.00;78.00;11.00;0.00;10.00;8.00
